Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1863 April 8COMMA AuburyCOMMA to my family,1863-04-08,CopeCOMMA ClementineCOMMA 1835-1903,hsc1097,CopeCOMMA Susan L. NewboldCOMMA 1805-1872,F,20-30,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA Rachel ReeveCOMMA 1794-1863; CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Thomas PimCOMMA 1823-1900,Biddy; Franny; J.C. Edwd; J; Elly,Health; Housekeeping; Business; Horses,,Awbury (PhiladelphiaCOMMA Pa.),,About 1/6 of this letter has been torn off.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6506,6506,4637.cpd
Medical instructions,1860,RhoadsCOMMA Dr.,hsc0658,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,,,,Health,,,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6508,6508,4639.cpd
1906COMMA PhiladelphiaCOMMA to Chellie,1906,SimpsonCOMMA H.,hsc0670,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,,,,,,,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6513,6513,4644.cpd
1899 December 27COMMA CherrelynCOMMA to My dear Lilly,1899-12-27,SimpsonCOMMA H.,hsc0665,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,,CopeCOMMA FrancisCOMMA 1852-1854; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,,Family,,Cherrelyn,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6525,6525,4656.cpd
1860 January 9COMMA WoodbourneCOMMA to My very dear cousin,1860-01-09,CopeCOMMA ClementineCOMMA 1835-1903,hsc1090,CopeCOMMA RuthannaCOMMA 1834-1879,F,20-30,YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; YarnallCOMMA EdwardCOMMA 1799-1859; CopeCOMMA Thomas PimCOMMA 1823-1900; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931,Frank,Death; Family; Faith; Weather,Montrose (Susquehanna CountyCOMMA Pa.),Woodbourne (Susquehanna Country(Pa.).),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6531,6531,4662.cpd
1902 October 6COMMA HarrogateCOMMA to My very dear Lilly,1902-10-06,SimpsonCOMMA H.,hsc0667,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,,,Ellie; Sallie; Agnes; Beatrice; Annie,,New Orleans (La.); Maids Lake,Harrogate,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6541,6541,4672.cpd
1905 April 13COMMA StreshireCOMMA to Chellie,1905-04-13,SimpsonCOMMA H.,hsc0668,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,,,Jonathan; Earnest; Frances; Queenie; Sallie; JWR,,,Streshire,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6552,6552,4683.cpd
1906 December 29COMMA StreshireCOMMA to Chellie,1906-12-29,SimpsonCOMMA H.,hsc0669,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,M,,,,,,Streshire,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6558,6558,4689.cpd
1844 February 7COMMA PhiladelphiaCOMMA to Henry Cope,1844-02-07,SharplessCOMMA Blakey,hsc0923,CopeCOMMA HenryCOMMA 1793-1865,M,,LaturnCOMMA Josiah; KimberCOMMA ThomasCOMMA 1787-1864; PedderCOMMA James,,,,Philadelphia (Pa.),,Photocopy. Original letter not present.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6562,6562,4693.cpd
1864 April 25COMMA BaltimoreCOMMA to Net,1864-04-25,CopeCOMMA ClementineCOMMA 1835-1903,hsc1099,CopeCOMMA AnnetteCOMMA 1843-1916,F,20-30,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CareyCOMMA SusanCOMMA 1821-1913; CoaleCOMMA AlfordCOMMA b. 1852; CopeCOMMA Francis ReeveCOMMA 1821-1909; LytleCOMMA HannahCOMMA 1814-1899; CareyCOMMA Ellen; BeecherCOMMA Thomas KinnicutCOMMA 1824-1900; BeecherCOMMA Henry WardCOMMA 1813-1887; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881,Mrs. McCafferty; Arthur Fimbur (?); Mary Pennyman; Lizzie Hopkins Lizzie Eage; Jenny Harris; Miller; Dr. Thomas; Cousin F&M,Death; Letter writing; Clothing and dress,Philadelphia (Pa.),Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6567,6567,4698.cpd
1861 April 28COMMA WoodbourneCOMMA to My dear little cousin Anne,1861-04-28,CopeCOMMA ClementineCOMMA 1835-1903,hsc1094,CopeCOMMA RuthannaCOMMA 1834-1879,F,20-30,CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; GarrettCOMMA MarthaCOMMA 1839-1927; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931; CopeCOMMA Rachel ReeveCOMMA 1794-1863,Sarah; Catherine,Voyages and Travels; Landscape; Family; Business; Weather,Belvidere (Pa.); Delaware (Pa.); Philadelphia (Pa.); Oxford (England); Hop Bottom (Susquehanna CountyCOMMA Pa.),Woodbourne (Susquehanna Country(Pa.).),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6581,6581,4712.cpd
1901 November 7COMMA CoalbrookdaleCOMMA to My dear Lilly,1901-11-07,SimpsonCOMMA H.,hsc0666,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,,LincolnCOMMA AbrahamCOMMA 1809-1865; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,,,Coalbrookdale (England),,Place of origin printed on stationery.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6587,6587,4718.cpd
1881 September 28COMMA to My dear Mother,1881-09-28,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,hsc1319,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,30-40,CopeCOMMA Francis ReeveCOMMA 1821-1909; EvansCOMMA Anna CopeCOMMA 1875-1967,Uncle David; Uncle Amos; Aunt Fanny; Cousin Rebecca,,,,Susquehanna County (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6594,6594,4725.cpd
1865 June 10COMMA BaltimoreCOMMA to cousin Frank,1865-06-10,CopeCOMMA ClementineCOMMA 1835-1903,hsc1108,CopeCOMMA Francis ReeveCOMMA 1821-1909,F,30-40,WatermanCOMMA Leander; TysonCOMMA Jesse,,Gossip; Voyages and Travels; Weather,Awbury (PhiladelphiaCOMMA Pa.),Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6601,6601,4732.cpd
1906 July 29COMMA Cliff HouseCOMMA to Dearest Carrie,1906-07-29,TatumCOMMA Hannah,hsc0690,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA EleanorCOMMA 1847-1860,Amy; Julie; SheldonCOMMA Nanna,,England,Cliff House,,"Stationery has a picture of the Cliff House and says ""Cliff HouseCOMMA MinnewaskaCOMMA Ulster CoCOMMA N.Y."" The text seems to drop off; subsequent pages are missing.",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6604,6604,4735.cpd
1898 August 11COMMA to my dear Clementine,1898-08-11,StokesCOMMA Hetty N. (Hetty Newlin)COMMA 1838-1899,hsc0677,CopeCOMMA ClementineCOMMA 1835-1903,F,,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916,,Health,Bristol (Conn.); Lake Minnewaska (N.Y.),,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6609,6609,4740.cpd
1875 June 24COMMA Lyme RegisCOMMA to Anna Cope,1875-06-24,SimpsonCOMMA R.,hsc0672,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,,,CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,Lillie; Alfred; Agnes; Sallie; Uncle Smith,Health; Weddings; Voyages and Travels,Dorsetshire,Lyme Regis,,"Stationery says ""Holm HouseCOMMA Southport.""",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6618,6618,4749.cpd
1907 February 26COMMA Summer StCOMMA to my dear friends Carrie & Nettie,1907-02-26,TatumCOMMA Hannah,hsc0692,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,,NorrisCOMMA Sally Fox,Frances; Miss Richards,Health; Gifts,,,,Addressed from 1620 Summer St.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6624,6624,4755.cpd
1865 June 7COMMA B[altimore]COMMA to Mother & sister Annt.,1865-06-07,CopeCOMMA ClementineCOMMA 1835-1903,hsc1105,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA AnnetteCOMMA 1843-1916,F,20-30,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; WatermanCOMMA Leander; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; TysonCOMMA Jesse; DrinkerCOMMA FrancesCOMMA b. 1841; TysonCOMMA James WoodCOMMA 1828-1900,Cousin Mary; Mr. N; cous. Sarah,Gossip; Weddings; Weather; Clothing and dress,,Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6632,6632,4763.cpd
1811 October 31COMMA PhiladelphiaCOMMA to William D. Cope,1811-10-31,ThomasCOMMA Theodore,hsc0693,CopeCOMMA William D. (William Drinker)COMMA 1798-1873,M,,MillerCOMMA Josiah,Sally; Margaret; Anne,Fires; Health,,Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6635,6635,4766.cpd
1865 April 11COMMA B[altimore]COMMA to Mother & sisters,1865-04-11,CopeCOMMA ClementineCOMMA 1835-1903;,hsc1098,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,20-30,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; ChestonCOMMA Margaret CareyCOMMA d. 1874; LytleCOMMA HannahCOMMA 1814-1899; ValentineCOMMA JuliaCOMMA 1808-1892; TysonCOMMA Jesse; LincolnCOMMA AbrahamCOMMA 1809-1865; CopeCOMMA Thomas PimCOMMA 1823-1900,Dr.V [?]; F. Fing; Carey; Jany ? Millier; Cousin S,United States--History--Civil WarCOMMA 1861-1865; Death; Education; Gossip; Weather,Washington (D.C.); Philadelphia (Pa.),Baltimore (Md.),,May be missing pages in the middle.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6642,6642,4773.cpd
1840 August 14COMMA NewportCOMMA to Alfred CopeCOMMA Philadelphia,1840-08-14,TysonCOMMA Eleanor CopeCOMMA 1807-1847,hsc0694,CopeCOMMA AlfredCOMMA 1806-1875,F,30-40,CopeCOMMA E. D. (Edward Drinker)COMMA 1840-1897; CopeCOMMA Hannah EdgeCOMMA 1814-1843; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; StokesCOMMA Elizabeth,Stokes family,Voyages and Travels; Health,Newport (R.I.); New Bedford (Mass.); Boston (Mass.); New Haven (Conn.); Worcester (Mass.); London Grove (Pa. : Township),Newport (R.I.),Philadelphia (Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6650,6650,4781.cpd
1882 June 2COMMA AwburyCOMMA to Anna,1882-06-02,StorkCOMMA Anna Brown CopeCOMMA b. 1862,hsc0680,EvansCOMMA Anna CopeCOMMA 1875-1967,F,20-30,,Algie; Jackie; Tom; Ethel,,,Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6654,6654,4785.cpd
1869 September 26COMMA to My dear Sister Clemence,1869-09-26,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,hsc1112,CopeCOMMA ClementineCOMMA 1835-1903,F,20-30,CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Francis ReeveCOMMA 1821-1909; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; EvansCOMMA Hannah BaconCOMMA 1839-1939; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA AnnetteCOMMA 1843-1916; EdgeCOMMA Elizabeth D.; GarrettCOMMA Philip C. (Philip Cresson)COMMA 1834-1905; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Amy Elizabeth Yarnall,Annie H.; Clarly [?] Aldersoni; M Morris; Eliza S; Tammy Miller; Mary; Dr. Norris; the Eschlemans; Ellie; Cous. Carrie; Harry,Family; Gossip; Voyages and Travels; Health; Weather,England; Chamounix (Switzerland),,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6660,6660,4791.cpd
1865 August 24,1865-08-24,TysonCOMMA Jesse,hsc0695,CopeCOMMA ClementineCOMMA 1835-1903,M,,KingCOMMA Mary,,,Newport (R.I.),Baltimore (Md.),,"Stationery has a decorated ""T""",English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6663,6663,4794.cpd
1836 May 29COMMA WheelingCOMMA to Dear FatherCOMMA Philadelphia,1836-05-29,TysonCOMMA Job R. (Job Roberts)COMMA 1803-1858,hsc0697,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,30-40,TysonCOMMA Eleanor CopeCOMMA 1807-1847; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA AlfredCOMMA 1806-1875,author's sister Esther,Voyages and Travels; Nature; Health; MedicineCOMMA Botanic,Mississippi River; Cincinnati (Ohio); Louisville (KY); Pennsylvania,WheelingCOMMA Virginia,Philadelphia,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6667,6667,4798.cpd
1831 November 25,1831-11-25,TysonCOMMA Job R. (Job Roberts)COMMA 1803-1858,hsc0696,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1768-1854,M,20-30,,,,,,,A short request for a meeting with the recipient.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6669,6669,4800.cpd
1869 September 14COMMA RifflebergCOMMA to My dear little Antenette,1869-09-14,CopeCOMMA ClementineCOMMA 1835-1903,hsc1111,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Susan L. NewboldCOMMA 1805-1872,F,30-40,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; BonaparteCOMMA Charles-Louis-NapoleonCOMMA 1808-1873; CopeCOMMA Thomas PimCOMMA 1823-1900; SmithCOMMA Hetty; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Amy Elizabeth Yarnall,Cous. Ann; Lilly; Elly; Dr. W Norris; Dr Derby; F Layton & Wife; Cos. E; Cos C & E; David & Hannah; Cos. F.C.T.; Harry; Aunt M.A.; Ellen,Voyages and Travels; Landscape; Dresses; Architecture; ArtCOMMA European; Letter writing; Weather,Germantown (PhiladelphiaCOMMA Pa.); Zermatt (Switzerland); Alps; Boston (Mass.); Berlin (Germany); Adirondack Mountains (N.Y.); Milan (Italy); Domodossola (Italy); Venice (Italy); Lucerne (Switzerland); Paris (France); Geneva (Switzerland); England; Edinburgh (Scotland); Chamounix (Switzerland),Riffelberg (Switzerland); Milan (Italy); Lucerne (Switzerland),,Some place names were nearly illegible and thus they were not included on the list.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6677,6677,4808.cpd
1873 June 25COMMA ConnymeadCOMMA to Cousin Anna,1873-06-25,CopeCOMMA ClementineCOMMA 1835-1903,hsc1115,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,30-40,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Francis ReeveCOMMA 1821-1909,,Gossip; Letter writing; Health; Weddings,Washington (D.C.),Connymeade,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6683,6683,4814.cpd
1874 January 2COMMA ConnymeadCOMMA to My dear CousinCOMMA Awbury,1874-01-02,CopeCOMMA ClementineCOMMA 1835-1903,hsc1116,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,F,30-40,CopeCOMMA EdgarCOMMA 1838-1895,,Thank-you notes; Faith,,Connymeade,Awbury (PhiladelphiaCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6689,6689,4820.cpd
1869 September 5COMMA Vale of ChamouniCOMMA to My dear Alexis,1869-09-05,CopeCOMMA ClementineCOMMA 1835-1903,hsc1110,CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,M,30-40,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; SmithCOMMA Hetty; ByronCOMMA Lord George GordonCOMMA 1788-1824; BonaparteCOMMA Charles-Louis-NapoleonCOMMA 1808-1873; CopeCOMMA AnnetteCOMMA 1843-1916; ColeridgeCOMMA Samuel TaylorCOMMA 1772-1834; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA Amy Elizabeth Yarnall,William Evans; Cos. E; E.S.C.; Lewis Bermiel [?]; Elly,Voyages and Travels; Landscape; French language; Weather,Geneva (Switzerland); Switzerland; Paris (France); Liverpool (England); England; Scotland; Brussels (Belgium); Interlaken (Switzerland); Freeburg (Germany),Chamounix (Switzerland); Martigny (Germany),,Some place names were close to illegibleCOMMA and thus were not included in the list of locations.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6697,6697,4828.cpd
1865 May 16COMMA BaltimoreCOMMA to My dear Cousin,1865-05-16,CopeCOMMA ClementineCOMMA 1835-1903,hsc1107,CopeCOMMA RuthannaCOMMA 1834-1879,F,20-30,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA HenryCOMMA 1793-1865; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,Dr. Thomas; Gilbert Carey; Perot family; Danson family; A Harrison; Copes; Mr. N.Y.,Gossip; Health,Germantown (PhiladelphiaCOMMA Pa.); Richmond (Va.),Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6704,6704,4835.cpd
1872 September 7COMMA WoodbourneCOMMA to My dear Mother & Sister,1872-09-07,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,hsc1114,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA ClementineCOMMA 1835-1903,F,20-30; 30-40,CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA AnnetteCOMMA 1843-1916; TysonCOMMA Caroline; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA EdgarCOMMA 1838-1895,M S; C; Nickolsons; Jan; L House; Cadbury's; Cousin S; Cous. Maggie; Fanny; S; Sidny Spencer; George Park; Wm Park; Judge Jessup; Harry,Gossip; Death; Weather; Voyages and Travels; Landscape,Springville (Pa. : Township); Catskill (N.Y.); Philadelphia (Pa.); Wilkes-Barre (Pa.); Overbrook (PhiladelphiaCOMMA Pa.),Woodbourne (Susquehanna Country(Pa.).); Montrose (Susquehanna CountyCOMMA Pa.),,Missing pages from the end.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6716,6716,4847.cpd
1906 December 28COMMA Summer StCOMMA to my dear Nettie,1906-12-28,TatumCOMMA Hannah,hsc0691,CopeCOMMA AnnetteCOMMA 1843-1916,F,,,Frances; MaguireCOMMA Emily/ Ellis/ John/ Mary; YarnallCOMMA Beckie; YarnallCOMMA Aunt Emma; Amy & Ellie; Carrie Casey,Health; Christmas,,,,Addressed from 1620 Summer St.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6726,6726,4857.cpd
1869 October 10COMMA LondonCOMMA to My dear Ann,1869-10-10,CopeCOMMA ClementineCOMMA 1835-1903,hsc1113,CopeCOMMA RuthannaCOMMA 1834-1879,F,30-40,SmithCOMMA Hetty; RaleighCOMMA Sir WalterCOMMA c. 1552-1618; GreyCOMMA Lady JaneCOMMA 1537-1554; BoleynCOMMA AnneCOMMA c. 1500-1536; CromwellCOMMA OliverCOMMA 1599-1658; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931,Cos. E,Voyages and Travels; Landscape; Architecture; Art museums; Letter writing,Switzerland; Alps; Rhone Glacier (Switzerland); Paris (France); Versailles (France); England; Stoke Newington (England); Palisades (N.J. and N.Y.); Newport (R.I.),London (England),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6733,6733,4864.cpd
1884 September 7COMMA WoodbourneCOMMA to my dear Chellie,1884-09-07,StorkCOMMA Anna Brown CopeCOMMA b. 1862,hsc0683,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,20-30,,,,,Woodbourne,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6739,6739,4870.cpd
1887 August 24COMMA Meadow FarmCOMMA to my dear Brother,1887-08-24,StokesCOMMA Katharine Wistar EvansCOMMA 1841-1904,hsc0679,EvansCOMMA JonathanCOMMA 1843-1911,F,40-50,,Rachel; Katy; Hannah; Sara P; Edith; Frank,Health; Family,Newport (R.I.),Meadow Farm,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6742,6742,4873.cpd
1867 June 8COMMA NewportCOMMA to Mother & Sisters,1867-06-08,CopeCOMMA ClementineCOMMA 1835-1903,hsc1109,CopeCOMMA Susan L. NewboldCOMMA 1805-1872; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,30-40,WilliamsCOMMA MaryCOMMA 1795?-1871; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; GarrettCOMMA Philip C. (Philip Cresson)COMMA 1834-1905; WilliamsCOMMA Hannah; CopeCOMMA Marmaduke CooperCOMMA 1804-1897; CopeCOMMA Sarah; CopeCOMMA AlfredCOMMA 1806-1875; CopeCOMMA Rebecca BiddleCOMMA 1812-1876; YarnallCOMMA Caroline R. (Caroline Rachel) CopeCOMMA 1802-1881; CopeCOMMA William D. (William Drinker)COMMA 1798-1873; GarrettCOMMA Elizabeth Waln CopeCOMMA 1841-1931; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,Newbolds; M.A.; Lizzie Edge; Maggie,Voyages and Travels; Weddings; Food habits; Deafness,Germantown (PhiladelphiaCOMMA Pa.); New York (N.Y.); Philadelphia (Pa.); Boston (Mass.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6749,6749,4880.cpd
June 25COMMA to Miss Nettie CopeCOMMA Washington St.,0025-06,SmithCOMMA Esther MortonCOMMA b. 1865,hsc0676,CopeCOMMA AnnetteCOMMA 1843-1916,F,,,,,,,Washington St.,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6752,6752,4883.cpd
1865 March 27COMMA BaltimoreCOMMA to My dearest children,1865-03-27,CopeCOMMA ClementineCOMMA 1835-1903,hsc1103,CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944; CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA EdgarCOMMA 1838-1895; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,F,20-30,ThomasCOMMA Deborah C. 1817-1889; TysonCOMMA Jesse; SayneCOMMA Mary; WatermanCOMMA Leander; CopeCOMMA Francis ReeveCOMMA 1821-1909; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA HenryCOMMA 1793-1865,Miss Fields; Margy Coale; Tammie Miller; Eliott; Miss Talbot; Morris; Cousin Mary and her mother and father; Cous. Sarah,Landscape; Education; Clothing and dress,Philadelphia (Pa.),Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6759,6759,4890.cpd
1842 May 25COMMA New BedfordCOMMA to Francis Reeve CopeCOMMA Philadelphia,1842-05-25,TaberCOMMA CharlesCOMMA 1822-1887,hsc0686,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,20-30,DavisCOMMA Elizabeth H.COMMA b. 1814; FarnumCOMMA John,,Poetry; Weddings,Rhode Island,New Bedford,Walnut StreetCOMMA Philadelphia,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6763,6763,4894.cpd
1865 May 10COMMA BaltimoreCOMMA to Tom,1865-05-10,CopeCOMMA ClementineCOMMA 1835-1903,hsc1100,CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883,F,20-30,ThomasCOMMA Allen C. (Allen Clapp)COMMA 1846-1920,,Education,,Baltimore (Md.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6769,6769,4900.cpd
1909 November 20COMMA Ivy Lodge CottageCOMMA to Rachel C,1909-11-20,SmithCOMMA E.P.,hsc0675,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; TaftCOMMA William H. (William Howard)COMMA 1857-1930,,Quakers--Social life and customs; Family,,Ivy Lodge Cottage,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6782,6782,4913.cpd
1906 May 24COMMA Summer St.COMMA to my dear Carrie and Nettie,1906-05-24,TatumCOMMA Hannah,hsc0689,CopeCOMMA AnnetteCOMMA 1843-1916; CopeCOMMA Caroline E. (Caroline Elizabeth)COMMA 1840-1944,F,,YarnallCOMMA Anna; DrinkerCOMMA FrancesCOMMA b. 1841,JayCOMMA Alban; Margaret (Anna's cook); EllisCOMMA EmilyCOMMA John & Mary Maguire; Elsie,,Richmond (Ind.); Philadelphia (Pa.); Wilmington (Del.); Lake Minnewaska (N.Y.),,,Addressed from 1620 Summer St.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/6788,6788,4919.cpd
